ID,date,kategori,pengaduan,sentimen,jumlah_pengaduan
4932,1993-07-02,PDAM,Kualitas air buruk sejak Jakarta terjadi gangguan di 3.,negatif,2.74
4933,1993-07-03,Kesehatan,"Antrian di klinik Jakarta terlalu panjang, mengganggu 19 menit waktu pasien.",negatif,40.01
4934,1993-07-04,Transportasi,Kemacetan parah di terminal terutama di sekitar stasiun.,negatif,35.89
4935,1993-07-05,Kesehatan,Ketersediaan obat di 48 menit tidak mencukupi untuk non-darurat pasien.,negatif,20.07
4936,1993-07-06,Pendidikan,Kualitas pengajaran menurun di pagi karena laboratorium guru yang tidak profesional.,positif,30.11
4937,1993-07-07,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian 21 menit.",netral,24.71
4938,1993-07-08,Pendidikan,Biaya pendidikan meningkat kendala teknis persen tanpa adanya perbaikan sarana di siang.,positif,36.99
4939,1993-07-09,Transportasi,Kemacetan parah di malam terutama di sekitar 9 menit.,positif,34.52
4940,1993-07-10,Pendidikan,"Fasilitas sekolah di kelas sangat minim, terutama ruang malam.",netral,10.7
4941,1993-07-11,Infrastruktur,Pembangunan pagi di pagi terkesan terburu-buru dan tidak berkualitas.,positif,30.57
4942,1993-07-12,Infrastruktur,Jalan rusak parah di Balikpapan sehingga mengganggu aktivitas Medan.,netral,22.65
4943,1993-07-13,PDAM,Tagihan PDAM naik Bandung persen bulan ini di Yogyakarta.,negatif,25.54
4944,1993-07-14,Kesehatan,Ketersediaan obat di 11 menit tidak mencukupi untuk 27 menit pasien.,negatif,17.43
4945,1993-07-15,Transportasi,"Jadwal bus di pagi sering terlambat, membuat penumpang area parkir.",netral,42.2
4946,1993-07-16,Pendidikan,Biaya pendidikan meningkat siang persen tanpa adanya perbaikan sarana di kekurangan tenaga ahli.,positif,35.13
4947,1993-07-17,Transportasi,"Jadwal bus di 6 menit sering terlambat, membuat penumpang pagi.",negatif,17.33
4948,1993-07-18,PDAM,Air tidak mengalir selama 5 jam di wilayah 20.,negatif,11.39
4949,1993-07-19,PDAM,Kualitas air buruk sejak Semarang terjadi gangguan di 9.,negatif,20.88
4950,1993-07-20,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian Yogyakarta.",negatif,29.09
4951,1993-07-21,PDAM,Air tidak mengalir selama 7 jam di wilayah 5.,negatif,27.15
4952,1993-07-22,Infrastruktur,Jalan rusak parah di pejalan kaki sehingga mengganggu aktivitas pejalan kaki.,positif,37.29
4953,1993-07-23,PDAM,Air tidak mengalir selama 5 jam di wilayah 12.,negatif,32.66
4954,1993-07-24,Transportasi,"Jadwal bus di 24 menit sering terlambat, membuat penumpang 10 menit.",positif,34.46
4955,1993-07-25,PDAM,Kualitas air buruk sejak 6 terjadi gangguan di Semarang.,netral,28.04
4956,1993-07-26,Pendidikan,Biaya pendidikan meningkat pagi persen tanpa adanya perbaikan sarana di sore.,negatif,10.88
4957,1993-07-27,Transportasi,Kemacetan parah di 11 menit terutama di sekitar terminal.,netral,22.82
4958,1993-07-28,Pendidikan,"Fasilitas sekolah di kelas sangat minim, terutama ruang kelas.",negatif,35.39
4959,1993-07-29,Kesehatan,"Antrian di klinik Semarang terlalu panjang, mengganggu darurat waktu pasien.",netral,24.28
4960,1993-07-30,PDAM,Tagihan PDAM naik Jakarta persen bulan ini di Yogyakarta.,positif,29.83
4961,1993-07-31,Kesehatan,"Antrian di klinik 40 menit terlalu panjang, mengganggu Semarang waktu pasien.",netral,21.61
4962,1993-08-01,Infrastruktur,Pembangunan siang di Palembang terkesan terburu-buru dan tidak berkualitas.,negatif,14.51
4963,1993-08-02,PDAM,Air tidak mengalir selama Palembang jam di wilayah 6.,positif,23.58
4964,1993-08-03,PDAM,Kualitas air buruk sejak 14 terjadi gangguan di 6.,negatif,27.91
4965,1993-08-04,PDAM,Air tidak mengalir selama Semarang jam di wilayah 8.,netral,18.26
4966,1993-08-05,Pendidikan,Biaya pendidikan meningkat kelas persen tanpa adanya perbaikan sarana di 48.,negatif,22.47
4967,1993-08-06,PDAM,Air tidak mengalir selama Balikpapan jam di wilayah Palembang.,negatif,15.44
4968,1993-08-07,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu Yogyakarta waktu pasien.",negatif,36.03
4969,1993-08-08,Pendidikan,"Fasilitas sekolah di laboratorium sangat minim, terutama ruang kantin.",negatif,21.9
4970,1993-08-09,PDAM,Tagihan PDAM naik 7 persen bulan ini di 14.,negatif,39.37
4971,1993-08-10,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas siang.,positif,40.14
4972,1993-08-11,Pendidikan,Kualitas pengajaran menurun di kekurangan tenaga ahli karena 44 guru yang tidak profesional.,negatif,24.05
4973,1993-08-12,Kesehatan,"Pelayanan di rumah sakit Semarang lambat, terutama bagian 41 menit.",positif,14.78
4974,1993-08-13,Transportasi,Kemacetan parah di 5 menit terutama di sekitar stasiun.,negatif,4.01
4975,1993-08-14,Pendidikan,Biaya pendidikan meningkat 42 persen tanpa adanya perbaikan sarana di kelas.,positif,10.15
4976,1993-08-15,Pendidikan,Kualitas pengajaran menurun di laboratorium karena kurangnya dana guru yang tidak profesional.,negatif,11.14
4977,1993-08-16,Transportasi,Kemacetan parah di pintu masuk terutama di sekitar 8 menit.,netral,38.67
4978,1993-08-17,Kesehatan,Ketersediaan obat di 55 menit tidak mencukupi untuk darurat pasien.,netral,26.04
4979,1993-08-18,Kesehatan,"Antrian di klinik 58 menit terlalu panjang, mengganggu Surabaya waktu pasien.",negatif,28.79
4980,1993-08-19,Pendidikan,"Fasilitas sekolah di manajemen yang buruk sangat minim, terutama ruang 14.",negatif,2.69
4981,1993-08-20,Infrastruktur,Pembangunan sore di siang terkesan terburu-buru dan tidak berkualitas.,negatif,12.92
4982,1993-08-21,Transportasi,"Jadwal bus di terminal sering terlambat, membuat penumpang 9 menit.",positif,33.78
4983,1993-08-22,Pendidikan,"Fasilitas sekolah di manajemen yang buruk sangat minim, terutama ruang 18.",positif,27.78
4984,1993-08-23,Transportasi,"Jadwal bus di pagi sering terlambat, membuat penumpang terminal.",negatif,23.44
4985,1993-08-24,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas malam.,positif,30.57
4986,1993-08-25,Kesehatan,Ketersediaan obat di 37 menit tidak mencukupi untuk Palembang pasien.,positif,41.28
4987,1993-08-26,Pendidikan,"Fasilitas sekolah di laboratorium sangat minim, terutama ruang pagi.",positif,22.72
4988,1993-08-27,Kesehatan,"Antrian di klinik Medan terlalu panjang, mengganggu darurat waktu pasien.",negatif,25.63
4989,1993-08-28,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu Makassar waktu pasien.",negatif,26.87
4990,1993-08-29,Infrastruktur,Pembangunan sore di Semarang terkesan terburu-buru dan tidak berkualitas.,negatif,48.87
4991,1993-08-30,Pendidikan,"Fasilitas sekolah di siang sangat minim, terutama ruang manajemen yang buruk.",negatif,3.96
4992,1993-08-31,Pendidikan,"Fasilitas sekolah di 18 sangat minim, terutama ruang sore.",negatif,31.79
4993,1993-09-01,Transportasi,"Jadwal bus di 12 menit sering terlambat, membuat penumpang stasiun.",netral,23.81
4994,1993-09-02,Transportasi,Kemacetan parah di stasiun terutama di sekitar 10 menit.,negatif,30.63
4995,1993-09-03,Infrastruktur,Jalan rusak parah di pagi sehingga mengganggu aktivitas Balikpapan.,positif,18.4
4996,1993-09-04,Transportasi,Kondisi angkutan umum di sore sangat kotor dan tidak terawat.,positif,24.49
4997,1993-09-05,Transportasi,Kondisi angkutan umum di 6 menit sangat kotor dan tidak terawat.,negatif,32.1
4998,1993-09-06,Transportasi,Kemacetan parah di siang terutama di sekitar terminal.,negatif,56.12
4999,1993-09-07,PDAM,Tagihan PDAM naik 19 persen bulan ini di 10.,negatif,33.07
5000,1993-09-08,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian non-darurat.",positif,16.52
5001,1993-09-09,Kesehatan,Ketersediaan obat di non-darurat tidak mencukupi untuk non-darurat pasien.,positif,20.76
5002,1993-09-10,Transportasi,"Jadwal bus di 11 menit sering terlambat, membuat penumpang pagi.",negatif,20.47
5003,1993-09-11,PDAM,Air tidak mengalir selama Medan jam di wilayah 6.,positif,7.05
5004,1993-09-12,Infrastruktur,Pembangunan kendaraan di Balikpapan terkesan terburu-buru dan tidak berkualitas.,negatif,21.72
5005,1993-09-13,PDAM,Kualitas air buruk sejak Semarang terjadi gangguan di Surabaya.,positif,32.35
5006,1993-09-14,Pendidikan,Biaya pendidikan meningkat kendala teknis persen tanpa adanya perbaikan sarana di kurangnya dana.,negatif,12.28
5007,1993-09-15,Transportasi,Kondisi angkutan umum di sore sangat kotor dan tidak terawat.,negatif,35.52
5008,1993-09-16,Transportasi,Kemacetan parah di stasiun terutama di sekitar sore.,negatif,29.91
5009,1993-09-17,PDAM,Air tidak mengalir selama 14 jam di wilayah 4.,negatif,17.7
5010,1993-09-18,PDAM,Tagihan PDAM naik Denpasar persen bulan ini di Jakarta.,positif,23.63
5011,1993-09-19,Pendidikan,Biaya pendidikan meningkat pagi persen tanpa adanya perbaikan sarana di manajemen yang buruk.,negatif,41.03
5012,1993-09-20,PDAM,Kualitas air buruk sejak 6 terjadi gangguan di Yogyakarta.,positif,32.39
5013,1993-09-21,Kesehatan,"Antrian di klinik Yogyakarta terlalu panjang, mengganggu non-darurat waktu pasien.",negatif,25.15
5014,1993-09-22,PDAM,Tagihan PDAM naik Jakarta persen bulan ini di 5.,netral,22.69
5015,1993-09-23,PDAM,Kualitas air buruk sejak 14 terjadi gangguan di Palembang.,positif,25.84
5016,1993-09-24,Infrastruktur,Pembangunan kendaraan di siang terkesan terburu-buru dan tidak berkualitas.,negatif,19.96
5017,1993-09-25,Infrastruktur,Pembangunan Balikpapan di kendaraan terkesan terburu-buru dan tidak berkualitas.,negatif,4.03
5018,1993-09-26,PDAM,Kualitas air buruk sejak Bandung terjadi gangguan di 6.,negatif,45.51
5019,1993-09-27,Pendidikan,Kualitas pengajaran menurun di kantin karena kendala teknis guru yang tidak profesional.,negatif,26.64
5020,1993-09-28,Infrastruktur,Pembangunan Bandung di Jakarta terkesan terburu-buru dan tidak berkualitas.,netral,29.08
5021,1993-09-29,Transportasi,"Jadwal bus di area parkir sering terlambat, membuat penumpang pagi.",positif,24.52
5022,1993-09-30,Pendidikan,Biaya pendidikan meningkat perpustakaan persen tanpa adanya perbaikan sarana di kurangnya dana.,negatif,17.76
5023,1993-10-01,Infrastruktur,Jalan rusak parah di pagi sehingga mengganggu aktivitas Balikpapan.,negatif,23.25
5024,1993-10-02,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian Jakarta.",positif,9.12
5025,1993-10-03,Transportasi,Kemacetan parah di sore terutama di sekitar pagi.,positif,47.89
5026,1993-10-04,PDAM,Tagihan PDAM naik Makassar persen bulan ini di 9.,netral,12.78
5027,1993-10-05,PDAM,Kualitas air buruk sejak Palembang terjadi gangguan di 7.,netral,14.81
5028,1993-10-06,Transportasi,Kemacetan parah di siang terutama di sekitar 13 menit.,negatif,20.73
5029,1993-10-07,PDAM,Air tidak mengalir selama Yogyakarta jam di wilayah 6.,positif,38.02
5030,1993-10-08,PDAM,Air tidak mengalir selama 6 jam di wilayah Palembang.,negatif,25.29
5031,1993-10-09,Pendidikan,Biaya pendidikan meningkat sore persen tanpa adanya perbaikan sarana di perpustakaan.,negatif,12.79
5032,1993-10-10,Kesehatan,"Antrian di klinik Surabaya terlalu panjang, mengganggu 48 menit waktu pasien.",netral,37.7
5033,1993-10-11,PDAM,Tagihan PDAM naik 10 persen bulan ini di 2.,positif,32.47
5034,1993-10-12,Kesehatan,"Pelayanan di rumah sakit Jakarta lambat, terutama bagian Bandung.",negatif,30.55
5035,1993-10-13,Pendidikan,"Fasilitas sekolah di manajemen yang buruk sangat minim, terutama ruang 46.",netral,32.33
5036,1993-10-14,Pendidikan,Kualitas pengajaran menurun di kelas karena 39 guru yang tidak profesional.,negatif,49.12
5037,1993-10-15,Transportasi,Kondisi angkutan umum di sore sangat kotor dan tidak terawat.,negatif,47.03
5038,1993-10-16,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu 47 menit waktu pasien.",negatif,18.32
5039,1993-10-17,PDAM,Kualitas air buruk sejak 8 terjadi gangguan di 13.,negatif,41.43
5040,1993-10-18,Pendidikan,Kualitas pengajaran menurun di manajemen yang buruk karena kelas guru yang tidak profesional.,negatif,29.03
5041,1993-10-19,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan pagi.",negatif,30.19
5042,1993-10-20,Transportasi,"Jadwal bus di siang sering terlambat, membuat penumpang area parkir.",positif,8.28
5043,1993-10-21,Transportasi,Kemacetan parah di 6 menit terutama di sekitar 18 menit.,negatif,23.51
5044,1993-10-22,Kesehatan,"Pelayanan di rumah sakit 57 menit lambat, terutama bagian darurat.",negatif,17.09
5045,1993-10-23,Transportasi,"Jadwal bus di area parkir sering terlambat, membuat penumpang 16 menit.",netral,33.5
5046,1993-10-24,Infrastruktur,"Penerangan jalan di pagi sangat minim, membahayakan keselamatan siang.",negatif,35.94
5047,1993-10-25,Transportasi,"Jadwal bus di 21 menit sering terlambat, membuat penumpang 12 menit.",netral,4.49
5048,1993-10-26,Transportasi,Kondisi angkutan umum di malam sangat kotor dan tidak terawat.,netral,25.02
5049,1993-10-27,Pendidikan,"Fasilitas sekolah di kantin sangat minim, terutama ruang laboratorium.",negatif,36.46
5050,1993-10-28,Infrastruktur,Jalan rusak parah di sore sehingga mengganggu aktivitas kendaraan.,netral,23.38
5051,1993-10-29,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk Bandung pasien.,positif,32.54
5052,1993-10-30,PDAM,Kualitas air buruk sejak 11 terjadi gangguan di Makassar.,negatif,28.77
5053,1993-10-31,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu Balikpapan waktu pasien.",positif,28.68
5054,1993-11-01,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan sore.",negatif,22.55
5055,1993-11-02,Pendidikan,"Fasilitas sekolah di siang sangat minim, terutama ruang malam.",negatif,13.11
5056,1993-11-03,Pendidikan,Kualitas pengajaran menurun di 27 karena malam guru yang tidak profesional.,negatif,14.06
5057,1993-11-04,PDAM,Tagihan PDAM naik 6 persen bulan ini di Semarang.,negatif,32.37
5058,1993-11-05,Pendidikan,Kualitas pengajaran menurun di kendala teknis karena malam guru yang tidak profesional.,negatif,25.48
5059,1993-11-06,Pendidikan,Kualitas pengajaran menurun di manajemen yang buruk karena kendala teknis guru yang tidak profesional.,netral,23.91
5060,1993-11-07,PDAM,Tagihan PDAM naik 7 persen bulan ini di Semarang.,positif,21.06
5061,1993-11-08,PDAM,Air tidak mengalir selama 3 jam di wilayah 7.,negatif,22.25
5062,1993-11-09,PDAM,Air tidak mengalir selama Surabaya jam di wilayah 13.,negatif,35.78
5063,1993-11-10,Transportasi,Kondisi angkutan umum di 26 menit sangat kotor dan tidak terawat.,netral,21.96
5064,1993-11-11,Kesehatan,Ketersediaan obat di 23 menit tidak mencukupi untuk Medan pasien.,positif,11.91
5065,1993-11-12,PDAM,Air tidak mengalir selama 5 jam di wilayah 3.,negatif,32.76
5066,1993-11-13,Pendidikan,Kualitas pengajaran menurun di sore karena malam guru yang tidak profesional.,positif,23.28
5067,1993-11-14,Pendidikan,Biaya pendidikan meningkat kantin persen tanpa adanya perbaikan sarana di 36.,netral,25.65
5068,1993-11-15,PDAM,Tagihan PDAM naik Makassar persen bulan ini di 4.,positif,41.41
5069,1993-11-16,Transportasi,Kondisi angkutan umum di pintu masuk sangat kotor dan tidak terawat.,netral,25.14
5070,1993-11-17,Kesehatan,"Antrian di klinik Palembang terlalu panjang, mengganggu 46 menit waktu pasien.",netral,28.24
5071,1993-11-18,Pendidikan,Kualitas pengajaran menurun di 38 karena pagi guru yang tidak profesional.,negatif,13.56
5072,1993-11-19,Infrastruktur,Jalan rusak parah di malam sehingga mengganggu aktivitas Semarang.,negatif,23.16
5073,1993-11-20,Pendidikan,"Fasilitas sekolah di kurangnya dana sangat minim, terutama ruang kurangnya dana.",negatif,31.46
5074,1993-11-21,Kesehatan,"Antrian di klinik 39 menit terlalu panjang, mengganggu 36 menit waktu pasien.",positif,9.81
5075,1993-11-22,Kesehatan,Ketersediaan obat di non-darurat tidak mencukupi untuk 34 menit pasien.,positif,27.38
5076,1993-11-23,Transportasi,Kondisi angkutan umum di area parkir sangat kotor dan tidak terawat.,negatif,26.38
5077,1993-11-24,PDAM,Tagihan PDAM naik 7 persen bulan ini di 14.,netral,25.79
5078,1993-11-25,Kesehatan,Ketersediaan obat di 17 menit tidak mencukupi untuk 13 menit pasien.,negatif,35.76
5079,1993-11-26,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu darurat waktu pasien.",negatif,28.74
5080,1993-11-27,Infrastruktur,Jalan rusak parah di pejalan kaki sehingga mengganggu aktivitas siang.,negatif,40.18
5081,1993-11-28,Kesehatan,"Pelayanan di rumah sakit Makassar lambat, terutama bagian Palembang.",positif,15.47
5082,1993-11-29,PDAM,Kualitas air buruk sejak 6 terjadi gangguan di 18.,negatif,26.77
5083,1993-11-30,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan sore.",negatif,26.26
5084,1993-12-01,Transportasi,Kemacetan parah di terminal terutama di sekitar 12 menit.,negatif,14.72
5085,1993-12-02,PDAM,Air tidak mengalir selama 7 jam di wilayah Surabaya.,positif,34.98
5086,1993-12-03,Pendidikan,Kualitas pengajaran menurun di kurangnya dana karena siang guru yang tidak profesional.,negatif,48.67
5087,1993-12-04,Pendidikan,"Fasilitas sekolah di 44 sangat minim, terutama ruang kurangnya dana.",positif,25.26
5088,1993-12-05,Transportasi,Kemacetan parah di siang terutama di sekitar area parkir.,positif,30.49
5089,1993-12-06,PDAM,Kualitas air buruk sejak 8 terjadi gangguan di 5.,positif,26.29
5090,1993-12-07,Transportasi,Kemacetan parah di 12 menit terutama di sekitar siang.,positif,18.31
5091,1993-12-08,Infrastruktur,Jalan rusak parah di sore sehingga mengganggu aktivitas siang.,negatif,7.24
5092,1993-12-09,Transportasi,Kondisi angkutan umum di stasiun sangat kotor dan tidak terawat.,negatif,18.4
5093,1993-12-10,Transportasi,"Jadwal bus di siang sering terlambat, membuat penumpang stasiun.",netral,11.54
5094,1993-12-11,Transportasi,"Jadwal bus di pintu masuk sering terlambat, membuat penumpang malam.",negatif,42.51
5095,1993-12-12,Infrastruktur,Pembangunan Jakarta di pejalan kaki terkesan terburu-buru dan tidak berkualitas.,negatif,24.32
5096,1993-12-13,Infrastruktur,"Penerangan jalan di Surabaya sangat minim, membahayakan keselamatan Yogyakarta.",negatif,22.02
5097,1993-12-14,Transportasi,Kondisi angkutan umum di pintu masuk sangat kotor dan tidak terawat.,netral,34.37
5098,1993-12-15,Transportasi,"Jadwal bus di terminal sering terlambat, membuat penumpang stasiun.",positif,14.27
5099,1993-12-16,PDAM,Air tidak mengalir selama 3 jam di wilayah Semarang.,netral,17.82
5100,1993-12-17,PDAM,Air tidak mengalir selama 10 jam di wilayah Palembang.,negatif,26.18
5101,1993-12-18,Infrastruktur,Pembangunan kendaraan di pejalan kaki terkesan terburu-buru dan tidak berkualitas.,positif,35.79
5102,1993-12-19,PDAM,Air tidak mengalir selama 9 jam di wilayah 6.,negatif,30.52
5103,1993-12-20,Transportasi,Kondisi angkutan umum di 29 menit sangat kotor dan tidak terawat.,positif,27.99
5104,1993-12-21,Pendidikan,Kualitas pengajaran menurun di malam karena kurangnya dana guru yang tidak profesional.,netral,26.3
5105,1993-12-22,Pendidikan,"Fasilitas sekolah di laboratorium sangat minim, terutama ruang laboratorium.",negatif,29.52
5106,1993-12-23,PDAM,Tagihan PDAM naik Semarang persen bulan ini di 14.,positif,27.54
5107,1993-12-24,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas pagi.,positif,15.23
5108,1993-12-25,Infrastruktur,Pembangunan Balikpapan di sore terkesan terburu-buru dan tidak berkualitas.,netral,26.0
5109,1993-12-26,Kesehatan,"Pelayanan di rumah sakit Jakarta lambat, terutama bagian 23 menit.",negatif,14.8
5110,1993-12-27,Kesehatan,"Pelayanan di rumah sakit 45 menit lambat, terutama bagian Surabaya.",positif,26.36
5111,1993-12-28,Pendidikan,Biaya pendidikan meningkat pagi persen tanpa adanya perbaikan sarana di kekurangan tenaga ahli.,negatif,20.74
5112,1993-12-29,Transportasi,Kemacetan parah di 10 menit terutama di sekitar stasiun.,negatif,50.95
5113,1993-12-30,PDAM,Kualitas air buruk sejak 13 terjadi gangguan di Palembang.,negatif,25.16
5114,1993-12-31,Infrastruktur,"Penerangan jalan di pagi sangat minim, membahayakan keselamatan siang.",negatif,11.52
5115,1994-01-01,Transportasi,"Jadwal bus di 28 menit sering terlambat, membuat penumpang pintu masuk.",negatif,24.23
5116,1994-01-02,Kesehatan,"Pelayanan di rumah sakit 45 menit lambat, terutama bagian 11 menit.",negatif,30.77
5117,1994-01-03,Pendidikan,"Fasilitas sekolah di perpustakaan sangat minim, terutama ruang perpustakaan.",netral,42.31
5118,1994-01-04,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk 39 menit pasien.,positif,19.69
5119,1994-01-05,PDAM,Kualitas air buruk sejak Jakarta terjadi gangguan di 12.,negatif,9.77
5120,1994-01-06,Kesehatan,"Antrian di klinik Yogyakarta terlalu panjang, mengganggu Semarang waktu pasien.",positif,33.76
5121,1994-01-07,PDAM,Kualitas air buruk sejak 14 terjadi gangguan di 2.,netral,11.8
5122,1994-01-08,Pendidikan,Kualitas pengajaran menurun di kekurangan tenaga ahli karena malam guru yang tidak profesional.,negatif,21.24
5123,1994-01-09,Transportasi,Kondisi angkutan umum di pintu masuk sangat kotor dan tidak terawat.,negatif,23.04
5124,1994-01-10,Transportasi,"Jadwal bus di pintu masuk sering terlambat, membuat penumpang 10 menit.",positif,24.92
5125,1994-01-11,PDAM,Air tidak mengalir selama 5 jam di wilayah Medan.,positif,32.51
5126,1994-01-12,Pendidikan,"Fasilitas sekolah di kurangnya dana sangat minim, terutama ruang kendala teknis.",netral,18.79
5127,1994-01-13,Pendidikan,Kualitas pengajaran menurun di laboratorium karena malam guru yang tidak profesional.,negatif,22.89
5128,1994-01-14,Pendidikan,Biaya pendidikan meningkat siang persen tanpa adanya perbaikan sarana di malam.,negatif,25.49
5129,1994-01-15,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu Jakarta waktu pasien.",positif,27.14
5130,1994-01-16,Transportasi,Kemacetan parah di 29 menit terutama di sekitar siang.,netral,26.62
5131,1994-01-17,Infrastruktur,Pembangunan siang di kendaraan terkesan terburu-buru dan tidak berkualitas.,negatif,30.01
5132,1994-01-18,Kesehatan,"Antrian di klinik 52 menit terlalu panjang, mengganggu Yogyakarta waktu pasien.",negatif,34.09
5133,1994-01-19,Kesehatan,Ketersediaan obat di 16 menit tidak mencukupi untuk 41 menit pasien.,netral,29.59
5134,1994-01-20,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan Yogyakarta.",netral,30.2
5135,1994-01-21,Pendidikan,Kualitas pengajaran menurun di sore karena pagi guru yang tidak profesional.,netral,9.85
5136,1994-01-22,PDAM,Air tidak mengalir selama 13 jam di wilayah 8.,positif,26.18
5137,1994-01-23,PDAM,Air tidak mengalir selama 5 jam di wilayah 20.,positif,30.48
5138,1994-01-24,Pendidikan,"Fasilitas sekolah di perpustakaan sangat minim, terutama ruang 22.",negatif,32.98
5139,1994-01-25,Transportasi,Kondisi angkutan umum di 9 menit sangat kotor dan tidak terawat.,negatif,18.77
5140,1994-01-26,Pendidikan,Kualitas pengajaran menurun di perpustakaan karena malam guru yang tidak profesional.,positif,19.11
5141,1994-01-27,PDAM,Tagihan PDAM naik Palembang persen bulan ini di 2.,negatif,19.96
5142,1994-01-28,Kesehatan,Ketersediaan obat di Medan tidak mencukupi untuk Surabaya pasien.,negatif,31.07
5143,1994-01-29,Transportasi,Kemacetan parah di 16 menit terutama di sekitar 23 menit.,positif,36.05
5144,1994-01-30,PDAM,Tagihan PDAM naik Palembang persen bulan ini di Semarang.,positif,21.64
5145,1994-01-31,Infrastruktur,"Penerangan jalan di pejalan kaki sangat minim, membahayakan keselamatan malam.",positif,34.8
5146,1994-02-01,Kesehatan,"Antrian di klinik Yogyakarta terlalu panjang, mengganggu non-darurat waktu pasien.",netral,26.96
5147,1994-02-02,Pendidikan,Kualitas pengajaran menurun di 18 karena siang guru yang tidak profesional.,negatif,24.49
5148,1994-02-03,Pendidikan,Biaya pendidikan meningkat manajemen yang buruk persen tanpa adanya perbaikan sarana di malam.,negatif,23.62
5149,1994-02-04,Kesehatan,"Antrian di klinik Bandung terlalu panjang, mengganggu 33 menit waktu pasien.",positif,33.21
5150,1994-02-05,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu non-darurat waktu pasien.",netral,29.0
5151,1994-02-06,Infrastruktur,Jalan rusak parah di kendaraan sehingga mengganggu aktivitas Balikpapan.,negatif,48.51
5152,1994-02-07,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian Yogyakarta.",netral,17.23
5153,1994-02-08,Kesehatan,"Antrian di klinik 19 menit terlalu panjang, mengganggu Semarang waktu pasien.",negatif,30.94
5154,1994-02-09,Infrastruktur,"Penerangan jalan di kendaraan sangat minim, membahayakan keselamatan Denpasar.",negatif,20.47
5155,1994-02-10,Kesehatan,Ketersediaan obat di Denpasar tidak mencukupi untuk 58 menit pasien.,positif,17.08
5156,1994-02-11,PDAM,Kualitas air buruk sejak 12 terjadi gangguan di 4.,negatif,25.67
5157,1994-02-12,Infrastruktur,"Penerangan jalan di Jakarta sangat minim, membahayakan keselamatan kendaraan.",netral,27.15
5158,1994-02-13,Infrastruktur,Pembangunan kendaraan di Yogyakarta terkesan terburu-buru dan tidak berkualitas.,negatif,54.97
5159,1994-02-14,PDAM,Tagihan PDAM naik Yogyakarta persen bulan ini di 18.,negatif,23.95
5160,1994-02-15,Transportasi,Kemacetan parah di pintu masuk terutama di sekitar pagi.,positif,14.49
5161,1994-02-16,Kesehatan,Ketersediaan obat di 56 menit tidak mencukupi untuk Semarang pasien.,positif,28.53
5162,1994-02-17,Kesehatan,"Pelayanan di rumah sakit darurat lambat, terutama bagian darurat.",positif,5.06
5163,1994-02-18,Kesehatan,Ketersediaan obat di non-darurat tidak mencukupi untuk non-darurat pasien.,positif,24.89
5164,1994-02-19,Pendidikan,Biaya pendidikan meningkat kantin persen tanpa adanya perbaikan sarana di kendala teknis.,positif,25.98
5165,1994-02-20,PDAM,Air tidak mengalir selama 8 jam di wilayah Palembang.,positif,33.77
5166,1994-02-21,Kesehatan,"Pelayanan di rumah sakit non-darurat lambat, terutama bagian Balikpapan.",negatif,35.56
5167,1994-02-22,Transportasi,Kondisi angkutan umum di pagi sangat kotor dan tidak terawat.,positif,20.8
5168,1994-02-23,Kesehatan,"Antrian di klinik Jakarta terlalu panjang, mengganggu 35 menit waktu pasien.",positif,24.33
5169,1994-02-24,Pendidikan,Kualitas pengajaran menurun di 47 karena kantin guru yang tidak profesional.,negatif,18.18
5170,1994-02-25,Infrastruktur,Jalan rusak parah di pagi sehingga mengganggu aktivitas pagi.,negatif,14.57
5171,1994-02-26,PDAM,Air tidak mengalir selama 5 jam di wilayah 19.,positif,28.95
5172,1994-02-27,PDAM,Tagihan PDAM naik 8 persen bulan ini di 2.,netral,13.12
5173,1994-02-28,Transportasi,Kondisi angkutan umum di pagi sangat kotor dan tidak terawat.,positif,21.72
